Title,Distr
Scooby-Doo Too,Warner
The Cat in the Hat,UIP
Gothika,Col/TriStar
Monster,Metrodome
50 First Dates,Col/TriStar
Shaun of the Dead,UIP
Masti,Eros
Capturing the Friedmans,Tartan
The Butterfly Effect,Icon
The Girl Next Door,20th Fox
Hidalgo,BVI
Barbershop 2,20th Fox
Song for a Raggy Boy,Contentfilm
Kill Bill - Volume 2,BVI
Taking Lives,Warner
Win a Date with Tad Hamilton!,UIP
Wondrous Oblivion,Momentum
Monsieur N.,Redbus
Eternal Sunshine of the Spotless Mind,Momentum
Secret Window,Col/TriStar
Main Hoon Na,Eros
Our House,BVI
The Calcium Kid,UIP
I'll Sleep When I'm Dead,Lagoon
Van Helsing,UIP
Laws of Attraction,Entertainment
Confessions of a Teenage Drama Queen,BVI
Wonderland,Tartan
Performance (RE),BFI
Imagining Argentina,UIP
Married/Unmarried,Guerilla
Anazapta,Guerilla
Re-inventing Eddie,Guerilla
The Football Factory,Vertigo
Troy,Warner
Shattered Glass,Icon
Bad Education,Pathe
Scooby-Doo 2,Warner
Yuva,Velocity
Emile,Redbus
The Day After Tomorrow,20th Fox
Hum Tum,Yash Raj
Harry Potter and the Prisoner of Azkaban,Warner
Japanese Story,Tartan
Aan,Venus
Uzak,Artificial Eye
Asa Nu Maan Watan Da,Tip Top
Performance,BFI
Connie and Carla,UIP
I'm Not Scared,BVI
Dev,Eros
Edward Said: The Last Interview,ICA Projects
Mean Girls,UIP
Jersey Girl,BVI
The Cooler,Tartan
Lakshya,Excelaa
The Whole Ten Yards,Warner
Confidences Trop Intimes,Pathe
Deep Blue,Optimum
Freeze Frame,Verve
The Ladykillers,BVI
The Notebook,Entertainment
Eurotrip,UIP
You Got Served,Col/TriStar
The Return,UGC
Deewaar,Eros
I'll Sleep when I'm Dead,Lagoon
Shrek 2,UIP
Godsend,Pathe
Highwaymen,Entertainment
Club Dread,20th Fox
One for the Road,Tartan
Around the World in 80 Days,Entertainment
Fahrenheit 9/11,Optimum
Walking Tall,20th Fox
Twisted,UIP
The Story of the Weeping Camel,UGC
Garv,Spark
Spider-Man 2,Col/Tri
The Prince and Me,Icon
Nathalie,Momentum
Thunderbirds,UIP
Two Brothers,Pathe
Before Sunset,Warner
Cowboys and Angels,BVI
Summer Madness (RE),BFI
King Arthur,BVI
Spider-Man 2,Col/TriStar
Garfield,20th Fox
The Stepford Wives,UIP
Muhse Shaadi Karogi,Zee Network
New York Minutre,Warner
Anything Else,Optimum
Sixteen Years of Alcohol,Tartan
"I, Robot",20th Fox
13 Going On 30,Col/TriStar
Home on the Range,BVI
Mujhse Shaadi Karogi,Zee Network
New York Minute,Warner
The Bourne Supremacy,UIP
Catwoman,Warner
Yu-Gi-Oh,Warner
